item,cod_loja,semana_comercial,data_semana_comercial,venda,categoria_loja,localidade,loja_tamanho,clima
100342,2,202222,2022-05-29,171,fisica,br,G,SUL
100342,407,202223,2022-06-05,188,web,br,GG,W
100342,307,202218,2022-05-01,85,fisica,br,M,SUL
100342,48,202220,2022-05-15,407,fisica,br,G,RIO
100342,132,202220,2022-05-15,72,fisica,br,P,SUL
100342,67,202221,2022-05-22,30,fisica,br,M,SUL
100342,373,202222,2022-05-29,33,fisica,br,P,SUL
100342,98,202223,2022-06-05,141,fisica,br,G,SPO
100342,53,202223,2022-06-05,114,fisica,br,G,RIO
100342,119,202223,2022-06-05,103,fisica,br,M,SUL
100342,302,202225,2022-06-19,22,fisica,br,P,NOR
100342,165,202220,2022-05-15,47,fisica,br,M,NOR
100342,236,202220,2022-05-15,61,fisica,br,M,RIO
100342,306,202224,2022-06-12,29,fisica,br,P,RIO
100342,45,202225,2022-06-19,17,fisica,br,M,SPO
100342,189,202225,2022-06-19,12,fisica,br,P,NOR
100342,287,202225,2022-06-19,14,fisica,br,P,NOR
100342,231,202219,2022-05-08,70,fisica,br,M,RIO
100342,11,202220,2022-05-15,91,fisica,br,M,SUL
100342,66,202223,2022-06-05,104,fisica,br,M,NOR
100342,172,202220,2022-05-15,233,fisica,br,G,SPO
100342,336,202220,2022-05-15,78,fisica,br,M,SPO
100342,257,202221,2022-05-22,19,fisica,br,P,RIO
100342,44,202223,2022-06-05,294,fisica,br,GG,SPO
100342,187,202224,2022-06-12,50,fisica,br,M,SPO
100342,28,202221,2022-05-22,88,fisica,br,G,RIO
100342,82,202223,2022-06-05,133,fisica,br,M,SPO
100342,338,202225,2022-06-19,17,fisica,br,P,RIO
100342,98,202220,2022-05-15,253,fisica,br,G,SPO
100342,95,202221,2022-05-22,104,fisica,br,M,RIO
100342,203,202222,2022-05-29,26,fisica,br,M,NOR
100342,339,202222,2022-05-29,25,fisica,br,PP,SUL
100342,266,202224,2022-06-12,56,fisica,br,M,SUL
100342,220,202224,2022-06-12,33,fisica,br,PP,SPO
100342,32,202225,2022-06-19,57,fisica,br,M,RIO
100342,42,202219,2022-05-08,34,fisica,br,P,SPO
100342,218,202220,2022-05-15,47,fisica,br,M,NOR
100342,209,202221,2022-05-22,51,fisica,br,M,NOR
100342,210,202222,2022-05-29,83,fisica,br,M,SUL
100342,226,202222,2022-05-29,26,fisica,br,P,SUL
100342,199,202223,2022-06-05,36,fisica,br,P,SPO
100342,56,202218,2022-05-01,31,fisica,br,M,RIO
100342,328,202218,2022-05-01,42,fisica,br,M,NOR
100342,20,202219,2022-05-08,77,fisica,br,M,SUL
100342,55,202221,2022-05-22,110,fisica,br,G,SPO
100342,312,202221,2022-05-22,27,fisica,br,M,SUL
100342,295,202223,2022-06-05,49,fisica,br,M,NOR
100342,414,202220,2022-05-15,100,fisica,uy,G,URU
100342,49,202221,2022-05-22,149,fisica,br,GG,RIO
100342,319,202223,2022-06-05,59,fisica,br,M,SUL
100342,144,202224,2022-06-12,88,fisica,br,M,SUL
100342,188,202225,2022-06-19,45,fisica,br,P,SUL
100342,300,202218,2022-05-01,9,fisica,br,PP,NOR
100342,140,202218,2022-05-01,37,fisica,br,M,RIO
100342,322,202220,2022-05-15,89,fisica,br,G,SPO
100342,346,202221,2022-05-22,73,fisica,br,P,SUL
100342,134,202225,2022-06-19,35,fisica,br,M,SPO
100342,301,202221,2022-05-22,44,fisica,br,M,RIO
100342,253,202221,2022-05-22,62,fisica,br,M,RIO
100342,160,202222,2022-05-29,51,fisica,br,P,SUL
100342,150,202218,2022-05-01,50,fisica,br,G,RIO
100342,159,202219,2022-05-08,47,fisica,br,M,NOR
100342,406,202220,2022-05-15,1269,web,br,GG,W
100342,194,202221,2022-05-22,89,fisica,br,M,RIO
100342,1,202221,2022-05-22,124,fisica,br,G,SUL
100342,276,202222,2022-05-29,20,fisica,br,P,SPO
100342,414,202223,2022-06-05,159,fisica,uy,G,URU
100342,85,202225,2022-06-19,100,fisica,br,GG,NOR
100342,22,202218,2022-05-01,44,fisica,br,M,SPO
100342,148,202218,2022-05-01,31,fisica,br,M,NOR
100342,36,202218,2022-05-01,88,fisica,br,G,SPO
100342,207,202220,2022-05-15,80,fisica,br,M,RIO
100342,13,202221,2022-05-22,234,fisica,br,GG,SUL
100342,328,202223,2022-06-05,44,fisica,br,M,NOR
100342,409,202223,2022-06-05,61,fisica,uy,G,URU
100342,78,202225,2022-06-19,67,fisica,br,M,SPO
100342,8,202225,2022-06-19,53,fisica,br,P,SUL
100342,12,202218,2022-05-01,118,fisica,br,G,SUL
100342,323,202220,2022-05-15,9,fisica,br,P,NOR
100342,350,202220,2022-05-15,177,fisica,br,M,RIO
100342,351,202221,2022-05-22,42,fisica,br,P,SPO
100342,58,202222,2022-05-29,61,fisica,br,G,RIO
100342,309,202222,2022-05-29,23,fisica,br,M,NOR
100342,31,202222,2022-05-29,83,fisica,br,G,SPO
100342,10,202223,2022-06-05,250,fisica,br,GG,SUL
100342,248,202218,2022-05-01,25,fisica,br,P,NOR
100342,68,202220,2022-05-15,77,fisica,br,M,SUL
100342,144,202220,2022-05-15,135,fisica,br,M,SUL
100342,343,202220,2022-05-15,105,fisica,br,P,RIO
100342,237,202221,2022-05-22,30,fisica,br,P,SPO
100342,12,202222,2022-05-29,151,fisica,br,G,SUL
100342,4,202222,2022-05-29,177,fisica,br,G,SPO
100342,75,202222,2022-05-29,46,fisica,br,M,RIO
100342,71,202224,2022-06-12,89,fisica,br,M,SPO
100342,62,202224,2022-06-12,50,fisica,br,P,SPO
100342,68,202224,2022-06-12,81,fisica,br,M,SUL
100342,60,202218,2022-05-01,168,fisica,br,GG,SPO
100342,323,202219,2022-05-08,6,fisica,br,P,NOR
100342,191,202220,2022-05-15,82,fisica,br,P,RIO
100342,18,202221,2022-05-22,113,fisica,br,G,SPO
100342,388,202223,2022-06-05,28,fisica,br,P,RIO
100342,257,202218,2022-05-01,4,fisica,br,P,RIO
100342,91,202218,2022-05-01,49,fisica,br,P,SPO
100342,215,202219,2022-05-08,59,fisica,br,M,RIO
100342,125,202223,2022-06-05,85,fisica,br,M,SPO
100342,102,202224,2022-06-12,96,fisica,br,M,SPO
100342,368,202225,2022-06-19,40,fisica,br,M,SUL
100342,184,202218,2022-05-01,145,fisica,br,G,SPO
100342,26,202218,2022-05-01,103,fisica,br,G,SPO
100342,2,202219,2022-05-08,148,fisica,br,G,SUL
100342,99,202222,2022-05-29,78,fisica,br,M,SUL
100342,130,202223,2022-06-05,73,fisica,br,M,SPO
100342,275,202224,2022-06-12,36,fisica,br,P,SUL
100342,147,202224,2022-06-12,50,fisica,br,M,RIO
100342,251,202221,2022-05-22,17,fisica,br,P,RIO
100342,222,202221,2022-05-22,52,fisica,br,M,SPO
100342,175,202222,2022-05-29,107,fisica,br,M,SPO
100342,92,202223,2022-06-05,155,fisica,br,GG,SPO
100342,103,202224,2022-06-12,103,fisica,br,M,SUL
100342,196,202218,2022-05-01,81,fisica,br,M,SPO
100342,267,202219,2022-05-08,86,fisica,br,M,RIO
100342,410,202221,2022-05-22,96,fisica,uy,G,URU
100342,124,202223,2022-06-05,41,fisica,br,M,NOR
100342,104,202224,2022-06-12,41,fisica,br,M,NOR
100342,167,202224,2022-06-12,108,fisica,br,M,SUL
100342,360,202224,2022-06-12,22,fisica,br,P,RIO
100342,355,202218,2022-05-01,53,fisica,br,P,RIO
100342,241,202219,2022-05-08,35,fisica,br,P,RIO
100342,19,202219,2022-05-08,240,fisica,br,GG,SPO
100342,311,202219,2022-05-08,107,fisica,br,G,SUL
100342,322,202219,2022-05-08,55,fisica,br,G,SPO
100342,260,202221,2022-05-22,27,fisica,br,PP,RIO
100342,2,202221,2022-05-22,100,fisica,br,G,SUL
100342,219,202223,2022-06-05,25,fisica,br,PP,RIO
100342,225,202223,2022-06-05,100,fisica,br,M,SUL
100342,29,202225,2022-06-19,45,fisica,br,M,RIO
100342,304,202225,2022-06-19,50,fisica,br,M,SUL
100342,210,202220,2022-05-15,58,fisica,br,M,SUL
100342,199,202220,2022-05-15,99,fisica,br,P,SPO
100342,307,202220,2022-05-15,126,fisica,br,M,SUL
100342,14,202220,2022-05-15,169,fisica,br,M,SPO
100342,37,202223,2022-06-05,272,fisica,br,GG,RIO
100342,412,202224,2022-06-12,75,fisica,uy,M,URU
100342,8,202224,2022-06-12,41,fisica,br,P,SUL
100342,118,202218,2022-05-01,110,fisica,br,M,SPO
100342,59,202219,2022-05-08,58,fisica,br,M,RIO
100342,167,202221,2022-05-22,66,fisica,br,M,SUL
100342,277,202221,2022-05-22,48,fisica,br,P,SPO
100342,73,202221,2022-05-22,85,fisica,br,G,RIO
100342,10,202222,2022-05-29,277,fisica,br,GG,SUL
100342,312,202223,2022-06-05,79,fisica,br,M,SUL
100342,159,202218,2022-05-01,55,fisica,br,M,NOR
100342,189,202219,2022-05-08,27,fisica,br,P,NOR
100342,75,202220,2022-05-15,103,fisica,br,M,RIO
100342,59,202220,2022-05-15,205,fisica,br,M,RIO
100342,9,202222,2022-05-29,42,fisica,br,M,SUL
100342,47,202222,2022-05-29,89,fisica,br,M,SPO
100342,240,202222,2022-05-29,25,fisica,br,P,RIO
100342,19,202223,2022-06-05,191,fisica,br,GG,SPO
100342,195,202223,2022-06-05,22,fisica,br,P,RIO
100342,137,202223,2022-06-05,18,fisica,br,P,RIO
